posted,neighborhood,post title,number bedrooms,sqft,URL,price
2020-07-31 08:57:00,(Woodside,NO FEE Woodside  1bedroom apt,1.0,,https://newyork.craigslist.org/que/apa/d/woodside-no-fee-woodside-1bedroom-apt/7169045958.html,1700
2020-08-03 16:06:00,(43Rd Ave & 53Rd Street,"53RD STREET OFF 43RD AVE, 1 BEDROOM NEAR 7 TRAIN",1.0,,https://newyork.craigslist.org/que/apa/d/woodside-53rd-street-off-43rd-ave-1/7170912992.html,1700
2020-08-03 16:37:00,(Skillman Ave & 51St Street,SKILLMAN AVE & 51ST STREET ONE  BEDROOM NEAR 7 TRAIN,1.0,,https://newyork.craigslist.org/que/apa/d/woodside-skillman-ave-51st-street-one/7170934579.html,1700
2020-08-06 11:03:00,(Sunnyside,$2100 Sunnyside 2 Bedroom - Available August 1st,2.0,,https://newyork.craigslist.org/que/apa/d/woodside-2100-sunnyside-2-bedroom/7172459222.html,2100
2020-08-06 15:47:00,(Woodside,"$1619 1br - Junior One Bedroom in Woodside, Queens",,,https://newyork.craigslist.org/que/apa/d/woodside-br-junior-one-bedroom-in/7172663541.html,1
2020-08-07 16:07:00,(43Rd Ave & 53Rd Street,"53RD STREET OFF 43RD AVE, 1 BEDROOM NEAR 7 TRAIN",1.0,,https://newyork.craigslist.org/que/apa/d/woodside-53rd-street-off-43rd-ave-1/7173276742.html,1650
2020-08-07 17:24:00,(Woodside,BEAUTIFUL AND SPACIOUS 2/BEDROOM APARTMENT !! NO FEES.,,,https://newyork.craigslist.org/que/apa/d/woodside-beautiful-and-spacious-2/7173328206.html,1600
2020-08-10 13:54:00,(Sunnyside,Large studio - View of Sunnyside Gardens,,450.0,https://newyork.craigslist.org/que/apa/d/woodside-large-studio-view-of-sunnyside/7174895393.html,1750
2020-08-12 10:35:00,(Sunnyside,$2100 Sunnyside 2 Bedroom - Available August 1st,2.0,,https://newyork.craigslist.org/que/apa/d/woodside-2100-sunnyside-2-bedroom/7175992545.html,2100
2020-08-13 13:09:00,(Woodside,REDUCED! * Absentee Landlord * Heat Included *,1.0,,https://newyork.craigslist.org/que/apa/d/woodside-reduced-absentee-landlord-heat/7176720570.html,1500
2020-08-13 18:38:00,"(Woodside, Sunnyside",No Fee/Spacious 3 Bedroom/2 Bath apt in Woodside,3.0,,https://newyork.craigslist.org/que/apa/d/woodside-no-fee-spacious-3-bedroom-2/7176948654.html,2725
2020-08-17 00:08:00,(Woodside,$2500 / 3br/2ba - Great 3 Bedroom Apartment (Woodside),3.0,1300.0,https://newyork.craigslist.org/que/apa/d/woodside-br-2ba-great-3-bedroom/7178821764.html,2500
2020-08-18 08:31:00,(Woodside,Studio Apartment For Rent By Owner,,,https://newyork.craigslist.org/que/apa/d/woodside-studio-apartment-for-rent-by/7179544672.html,1200
2020-08-18 11:15:00,(Woodside,Studio Apartment For Rent By Owner,,,https://newyork.craigslist.org/que/apa/d/woodside-studio-apartment-for-rent-by/7179640910.html,1150
2020-08-18 13:07:00,(Woodside,Newly Renovated 4 Bedrooms Apt. Cross the street From Doughboy Park,3.0,,https://newyork.craigslist.org/que/apa/d/woodside-newly-renovated-4-bedrooms-apt/7179726878.html,2800
2020-08-19 18:55:00,(Woodside,Huge 3 bedroom 2 bathroom 1500 square feet,3.0,1500.0,https://newyork.craigslist.org/que/apa/d/woodside-huge-3-bedroom-2-bathroom-1500/7180594095.html,2800
